지점명,주소,lat,lng
대구동성로중앙점,대구 중구 동성로 1길 29-33,35.8678153,128.5952246
대구수성구청역점,대구 수성구 범어동 206-2,35.8584740,128.6371958
대구신월성점,대구 달서구 조암로 41,35.8242367,128.5257173
대구율하점,대구광역시 동구 안심로 22길 52,35.8631772,128.6972011
대구칠곡3지구점,대구광역시 북구 동천동 896-2,35.9438669,128.5633259
대전관저점,"대전광역시 서구 관저동 1340, 하이존 117호",36.2993227,127.3397725
대전탄방점,대전 서구 탄방동 722,36.3482467,127.3889787
현대아울렛대전점,대전 유성구 용산동 579,36.4239095,127.3986899
범일동일타워점,부산 동구 조방로 14 동일타워 106호,35.1387523,129.0634901
부산남포동점,부산광역시 중구 광복동 1가 17-6,35.0986588,129.0340448
부산대점,부산광역시 금정구 장전동 416-42,35.2313811,129.0867523
부산덕천점,부산 북구 만덕대로16번길 9,35.2100428,129.0072178
부산롯데월드어드벤처점,부산 기장군 기장읍 시랑리 산46 일대 부산롯데월드어드벤처,35.1946151,129.2147839
부산부경대점,"부산광역시 남구 수영로334번길 50, 1층",35.1363546,129.1034654
부산사직점,부산 동래구 사직북로5,35.1963321,129.0606565
부산서면롯데후문점,부산광역시 부산진구 부전로66번길 12,35.1557798,129.0553771
부산센텀시티점,부산 해운대구 센텀1로 17,35.1669285,129.1315826
부산수영점,부산광역시 수영구 수영로 707,35.1681247,129.1167015
부산장산역점,부산 해운대구 해운대로 814 세종월드프라자 A동 134호,35.1695768,129.1776778
부산전포카페거리점,부산시 부산진구 전포대로199번길 27,35.1542845,129.0635917
부산정관점,부산 기장군 정관읍 정관로 566 헬로시티 101호,35.3212123,129.1755326
부산하단동아대점,부산 사하구 하단동 497-36 외 1 필지 더휴103호,35.1115577,128.9653330
해운대점,부산시 해운대구 해운대로 620,35.1629713,129.1584586
NC구로점,서울 구로구 구로중앙로 152,37.5011324,126.8828000
NC송파점,"서울 송파구 충민로 66, Young관 2층 Food Street",37.4776148,127.1249617
w몰점,서울시 금천구 디지털로 188,37.4773538,126.8876842
가로수길점(6월 오픈예정),서울 강남구 압구정로10길 36 영진빌딩 1층 (신사동),37.5212453,127.0219803
강남본점,서울특별시 서초구 서초동 1321-9 풍림아이원매직 제1층 102호,37.4956669,127.0256036
강남역점,서울특별시 강남구 강남대로78길 22,37.4951640,127.0311790
강남우성점,서울 서초구 서초동1337-22 대우디오빌프라임 1층 104호,37.4915870,127.0299707
경희대점,서울 동대문구 회기동 16-47,37.5926351,127.0527380
광장점,서울 광진구 아차산로 502 진넥스오딧세이 1층 105호,37.5413606,127.0972644
광화문D타워점,서울시 종로구 종로3길 17 디타워1층,37.5710184,126.9789694
구로디지털단지점,서울 구로구 디지털로33길 12,37.4865757,126.8961598
길음뉴타운점,서울 성북구 길음로7길 6,37.6043358,127.0223968
노량진점,서울 동작구 노량진동 119-64 제1호,37.5122109,126.9441331
노원은행사거리점,서울 노원구 한글비석로 265 102호,37.6514602,127.0765740
대학로점,서울시 종로구 연건동 76,37.5786287,127.0018976
동대문점,서울특별시 중구 을지로 255,37.5664501,127.0066092
마곡역점,서울 강서구 공항대로 190,37.5590423,126.8286371
마포역점,"서울특별시 마포구 마포대로 68, 1층 108호",37.5413405,126.9489800
면목역점,서울특별시 중랑구 면목동 103-5,37.5892583,127.0903849
목동역점,서울 양천구 목동로 211,37.5272892,126.8639003
문래GS타워점,서울 영등포구 문래동3가 84-2,37.5206588,126.8899281
문정역점,서울 송파구 송파대로 167 테라타워 B동 지하1층 G124호,37.4848354,127.1210395
보라매점,서울 동작구 보라매로 5가길 7,37.4919528,126.9249684
상수역점,서울 마포구 독막로 77,37.5479355,126.9221025
상암DMC점,서울 마포구 상암동1605 누리꿈스퀘어,37.5794127,126.8904236
서울가재울뉴타운점,서울 서대문구 거북골로 100,37.5760198,126.9174906
서울대입구점,서울시 관악구 관악로 168,37.4801769,126.9530995
